ZipCode,Count
94103,8462
94102,6778
-1,6197
94133,6044
90103,5035
94143,3946
94134,3810
94124,3686
94164,3469
94104,3319
94131,3313
94112,2924
94188,2917
94121,2874
94123,2775
95115,2750
94114,2713
94118,2591
94109,2355
94122,2344
94117,2037
94105,1916
94107,1860
94115,1537
94111,1510
94132,1347
94158,1236
94108,1147
94017,1086
94116,1077
94127,813
94110,799
94166,745
90214,706
94113,697
90104,676
41907,641
94,587
94312,578
94130,417
94129,276
94014,5
94015,5
